-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |          Ei           Ek          |              Lower level               |               Upper level               |   Type|                  TP  |    Line  |
          |      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |         (eV)         (eV)         |----------------------------------------|-----------------------------------------|       |                 Ref. |    Ref.  |
          |       Air (nm)       |       Air (nm)       |           |             |      |                                   | Conf.                 | Term    | J    | Conf.                  | Term    | J    |       |                      |          |
Ar II     |          204.6155    |          204.615789  |       0.5 |             |      |    19.76226091  -     25.81968404 | 3s2.3p4.(3P).4p       | 2D*     | 3/2  | 3s2.3p4.(3P).7s        | 2P      | 3/2  |       |                      |  L14821  |
Ar II     |          204.64925   |          204.649276  |        14 |             |      |    18.25395187  -     24.31038395 | 3s2.3p4.(3P).3d       | 4P      | 1/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          204.79994   |          204.799982  |         5 |             |      |    18.28805513  -     24.34003106 | 3s2.3p4.(3P).3d       | 4P      | 3/2  | 3s2.3p4.(3P<1>).4f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar II     |          205.03242   |          205.032402  |         5 |             |      |    18.33428069  -     24.37939715 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P<0>).4f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar II     |          205.07924   |          205.079243  |        83 |             |      |    18.33428069  -     24.37801662 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P<0>).4f     | 2[3]*   | 7/2  |       |                      |  L11520  |
Ar II     |          205.75127   |          205.751267  |        91 |             |      |    18.28805513  -     24.31205364 | 3s2.3p4.(3P).3d       | 4P      | 3/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 5/2  |       |                      |  L11520  |
Ar II     |          205.80835   |          205.808320  |        22 |             |      |    18.28805513  -     24.31038395 | 3s2.3p4.(3P).3d       | 4P      | 3/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar IV     |          205.8820    |          205.8818    |       0.5 |             |      |    31.906537    -     37.926716   | 3s2.3p2.(3P).4s       | 2P      | 3/2  | 3s2.3p2.(1D).4p        | 2D*     | 3/2  |       |                      |  L11418  |
Ar II     |          205.91973   |          205.919705  |         6 |             |      |    19.68004879  -     25.69912045 | 3s2.3p4.(3P).4p       | 2D*     | 5/2  | 3s2.3p4.(3P).7s        | 4P      | 3/2  |       |                      |  L11520  |
Ar II     |          206.0079    |          206.007466  |         1 |             |      |    19.86715687  -     25.88366471 | 3s2.3p4.(3P).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).7s        | 2P      | 1/2  |       |                      |  L14821  |
Ar II     |          206.0855    |          206.085173  |       0.5 |             |      |    19.97253806  -     25.9867776  | 3s2.3p4.(3P).4p       | 2S*     | 1/2  | 3s2.3p4.(3P).6d        | 2P      | 3/2  |       |                      |  L14821  |
Ar IV     |          206.1890    |          206.1884    |         4 |             |      |    31.906537    -     37.917765   | 3s2.3p2.(3P).4s       | 2P      | 3/2  | 3s2.3p2.(1D).4p        | 2D*     | 5/2  |       |                      |  L11418  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          206.37647   |          206.376514  |         8 |             |      |    18.33428069  -     24.34003106 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar III    |          206.4150    |          206.416     |         1 |             |      |    27.7306974   -     33.73529    | 3s2.3p3.(2D*).4p      | 1P      | 1    | 3s2.3p3.(2D*).4d       | 1D*     | 2    |       |                      |   L9366  |
Ar II     |          206.42110   |          206.421105  |       123 |             |      |    18.33428069  -     24.33873385 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[3]*   | 7/2  |       |                      |  L11520  |
Ar II     |          207.34254   |          207.342531  |        43 |             |      |    18.33428069  -     24.31205364 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 5/2  |       |                      |  L11520  |
Ar II     |          207.4003    |          207.400469  |         1 |             |      |    18.33428069  -     24.31038395 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          207.61840   |          207.618356  |         7 |             |      |    19.96749891  -     25.93733129 | 3s2.3p4.(3P).4p       | 4S*     | 3/2  | 3s2.3p4.(3P).6d        | 4P      | 5/2  |       |                      |  L11520  |
Ar II     |          207.96530   |          207.965303  |        68 |             |      |    18.25395187  -     24.21382608 | 3s2.3p4.(3P).3d       | 4P      | 1/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 3/2  |       |                      |  L11520  |
Ar II     |          208.03555   |          208.035549  |        89 |             |      |    18.25395187  -     24.21181391 | 3s2.3p4.(3P).3d       | 4P      | 1/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 1/2  |       |                      |  L11520  |
Ar II     |          208.21077   |          208.210791  |        12 |             |      |    18.42654895  -     24.37939715 | 3s2.3p4.(1D).4s       | 2D      | 3/2  | 3s2.3p4.(3P<0>).4f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar II     |          208.6816    |          208.681189  |         2 |             |      |    17.74309086  -     23.68252216 | 3s2.3p4.(3P).3d       | 4F      | 5/2  | 3s2.3p4.(3P).5p        | 2D*     | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          208.7718    |          208.771598  |         1 |             |      |    19.76226091  -     25.69912045 | 3s2.3p4.(3P).4p       | 2D*     | 3/2  | 3s2.3p4.(3P).7s        | 4P      | 3/2  |       |                      |  L14821  |
Ar II     |          209.16231   |          209.162310  |        89 |             |      |    18.28805513  -     24.21382608 | 3s2.3p4.(3P).3d       | 4P      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 3/2  |       |                      |  L11520  |
Ar II     |          209.16405   |          209.164041  |        21 |             |      |    17.69466466  -     23.62038658 | 3s2.3p4.(3P).3d       | 4F      | 7/2  | 3s2.3p4.(3P).5p        | 2D*     | 5/2  |       |                      |  L11520  |
Ar II     |          209.23334   |          209.233367  |        21 |             |      |    18.28805513  -     24.21181391 | 3s2.3p4.(3P).3d       | 4P      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 1/2  |       |                      |  L11520  |
Ar II     |          209.27643   |          209.276420  |        16 |             |      |    18.25395187  -     24.17649215 | 3s2.3p4.(3P).3d       | 4P      | 1/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          209.5976    |          209.597025  |         1 |             |      |    18.42654895  -     24.34003106 | 3s2.3p4.(1D).4s       | 2D      | 3/2  | 3s2.3p4.(3P<1>).4f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar II     |          209.6808    |          209.680555  |         1 |             |      |    19.97253806  -     25.88366471 | 3s2.3p4.(3P).4p       | 2S*     | 1/2  | 3s2.3p4.(3P).7s        | 2P      | 1/2  |       |                      |  L14821  |
Ar II     |          209.81285   |          209.812869  |         6 |             |      |    19.96749891  -     25.87489830 | 3s2.3p4.(3P).4p       | 4S*     | 3/2  | 3s2.3p4.(3P).6d        | 4P      | 3/2  |       |                      |  L11520  |
Ar II     |          209.8364    |          209.836660  |       0.5 |             |      |    17.77579247  -     23.68252216 | 3s2.3p4.(3P).3d       | 4F      | 3/2  | 3s2.3p4.(3P).5p        | 2D*     | 3/2  |       |                      |  L14821  |
Ar II     |          209.91369   |          209.913652  |         5 |             |      |    17.94175095  -     23.84631446 | 3s2.3p4.(3P).3d       | 2P      | 1/2  | 3s2.3p4.(1S).4p        | 2P*     | 1/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
