-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |          Ei           Ek          |              Lower level               |               Upper level               |   Type|                  TP  |    Line  |
          |      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |         (eV)         (eV)         |----------------------------------------|-----------------------------------------|       |                 Ref. |    Ref.  |
          |       Air (nm)       |       Air (nm)       |           |             |      |                                   | Conf.                 | Term    | J    | Conf.                  | Term    | J    |       |                      |          |
Ar III    |          278.36033   |          278.36035   |        10 |             |      |    25.6936176   -     30.1463935  | 3s2.3p3.(2P*).4s      | 3P*     | 2    | 3s2.3p3.(2P*).4p       | 3P      | 1    |       |                      |  L11520  |
Ar IV     |          278.443     |          278.443     |        10 | 2.5e+08     | D    |    33.19826     -     37.64971    | 3s2.3p2.(1D).4s       | 2D      | 3/2  | 3s2.3p2.(1D).4p        | 2F*     | 5/2  |       |           T1619CA,LS |  L11418  |
Ar III    |          278.523     |          278.5201    |         5 |             |      |    25.730729    -     30.18095212 | 3s2.3p3.(2P*).4s      | 3P*     | 1    | 3s2.3p3.(2P*).4p       | 3P      | 2    |       |                      |   L7493  |
Ar V      |          278.599     |          278.5963    |           | 8.1e-02     | D    |     0.251534    -      4.70054    | 3s2.3p2               | 3P      | 2    | 3s2.3p2                | 1S      | 0    | E2    |                 T761 |   L3453  |
Ar IV     |          278.891     |          278.8917    |        10 | 1.9e+08     | D    |    31.107903    -     35.552196   | 3s2.3p2.(3P).4s       | 4P      | 3/2  | 3s2.3p2.(3P).4p        | 4D*     | 5/2  |       |           T1619CA,LS |  L11418  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |          279.4976    |          279.49416   |         8 |             |      |    23.4802302   -     27.91494375 | 3s2.3p3.(2P*).3d      | 3P*     | 2    | 3s2.3p3.(2D*).4p       | 3D      | 2    |       |                      |   L9366  |
Ar II     |          279.5289    |          279.52915   |      2bl? |             |      |    21.6750426   -     26.109201   | 3s2.3p4.(1D).3d       | 2P      | 1/2  | 3s2.3p4.(3P<2>).6f     | 2[1]*   | 3/2  |       |                      |  L14821  |
Ar II     |          279.54285   |          279.542831  |        19 |             |      |    21.42814592  -     25.86208739 | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(1D<2>).4f     | 2[1]*   | 1/2  |       |                      |  L11520  |
Ar III    |          279.66367   |          279.66369   |        11 |             |      |    24.8362581   -     29.2682835  | 3s2.3p3.(2P*).3d      | 1F*     | 3    | 3s2.3p3.(2D*).4p       | 1D      | 2    |       |                      |  L11520  |
Ar IV     |          279.708     |          279.7083    |         9 | 2.2e+08     | D    |    31.022731    -     35.454050   | 3s2.3p2.(3P).4s       | 4P      | 1/2  | 3s2.3p2.(3P).4p        | 4D*     | 1/2  |       |           T1619CA,LS |  L11418  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          280.0919    |          280.09212   |         1 |             |      |    21.6750426   -     26.1002891  | 3s2.3p4.(1D).3d       | 2P      | 1/2  | 3s2.3p4.(3P<2>).6f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar II     |          280.5990    |          280.599996  |         1 |             |      |    19.86715687  -     24.28439423 | 3s2.3p4.(3P).4p       | 2P*     | 3/2  | 3s2.3p4.(1D).5s        | 2D      | 3/2  |       |                      |  L14821  |
Ar II     |          280.61670   |          280.616700  |        58 |             |      |    19.86715687  -     24.28413130 | 3s2.3p4.(3P).4p       | 2P*     | 3/2  | 3s2.3p4.(1D).5s        | 2D      | 5/2  |       |                      |  L11520  |
Ar III    |          280.702     |          280.7000    |         4 |             |      |    25.730729    -     30.1463935  | 3s2.3p3.(2P*).4s      | 3P*     | 1    | 3s2.3p3.(2P*).4p       | 3P      | 1    |       |                      |   L7493  |
Ar IV     |          280.947     |          280.947     |        10 | 2.6e+08     | D    |    31.239970    -     35.65176    | 3s2.3p2.(3P).4s       | 4P      | 5/2  | 3s2.3p2.(3P).4p        | 4D*     | 7/2  |       |           T1619CA,LS |  L11418  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |          281.82260   |          281.82260   |         8 |             |      |    25.7483180   -     30.1463935  | 3s2.3p3.(2P*).4s      | 3P*     | 0    | 3s2.3p3.(2P*).4p       | 3P      | 1    |       |                      |  L11520  |
Ar III    |          282.46461   |          282.4646    |        10 |             |      |    25.730729    -     30.118809   | 3s2.3p3.(2P*).4s      | 3P*     | 1    | 3s2.3p3.(2P*).4p       | 3P      | 0    |       |                      |  L11520  |
Ar II     |          282.827     |          282.824501  |        0? |             |      |    21.49240221  -     25.87489830 | 3s2.3p4.(1D).4p       | 2D*     | 3/2  | 3s2.3p4.(3P).6d        | 4P      | 3/2  |       |                      |  L14821  |
Ar IV     |          283.025     |          283.0237    |        12 | 1.4e+08     | D    |    31.107903    -     35.487315   | 3s2.3p2.(3P).4s       | 4P      | 3/2  | 3s2.3p2.(3P).4p        | 4D*     | 3/2  |       |           T1619CA,LS |  L11418  |
Ar II     |          283.0834    |          283.082342  |       0.5 |             |      |    16.74852877  -     21.12703333 | 3s2.3p4.(3P).4s       | 4P      | 3/2  | 3s2.3p4.(1D).4p        | 2F*     | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |          284.0155    |          284.01263   |         6 |             |      |    27.2651756   -     31.6293391  | 3s2.3p3.(2D*).3d      | 1P*     | 1    | 3s2.3p3.(2P*).4p       | 1S      | 0    |       |                      |   L9366  |
Ar III    |          284.29654   |          284.29655   |        33 |             |      |    24.37413212  -     28.7339373  | 3s2.3p3.(2D*).4s      | 3D*     | 1    | 3s2.3p3.(2D*).4p       | 3P      | 0    |       |                      |  L11520  |
Ar II     |          284.33726   |          284.337074  |         9 |             |      |    20.74354589  -     25.10272979 | 3s2.3p4.(1S).4s       | 2S      | 1/2  | 3s2.3p4.(3P).6p        | 4D*     | 3/2  |       |                      |  L11520  |
Ar II     |          284.4129    |          284.412859  |         4 | 2.e+05      | C    |    17.14002730  -     21.49804969 | 3s2.3p4.(3P).4s       | 2P      | 3/2  | 3s2.3p4.(1D).4p        | 2D*     | 5/2  |       |                 T926 |  L14821  |
Ar II     |          284.7146    |          284.714423  |         2 |             |      |    20.74354589  -     25.09695258 | 3s2.3p4.(1S).4s       | 2S      | 1/2  | 3s2.3p4.(3P).6p        | 4P*     | 1/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          284.7816    |          284.781921  |         3 | 3.e+05      | C    |    17.14002730  -     21.49240221 | 3s2.3p4.(3P).4s       | 2P      | 3/2  | 3s2.3p4.(1D).4p        | 2D*     | 3/2  |       |                 T926 |  L14821  |
Ar IV     |          285.191     |          285.1900    |         8 | 4.1e+07     | E    |    31.107903    -     35.454050   | 3s2.3p2.(3P).4s       | 4P      | 3/2  | 3s2.3p2.(3P).4p        | 4D*     | 1/2  |       |           T1619CA,LS |  L11418  |
Ar II     |          285.316     |          285.315338  |         0 |             |      |    19.54901161  -     23.8932498  | 3s2.3p4.(3P).4p       | 4D*     | 5/2  | 3s2.3p4.(3P).4d        | 2D      | 3/2  |       |                      |  L14821  |
Ar III    |          285.33088   |          285.330940  |        25 |             |      |    24.37413212  -     28.7181328  | 3s2.3p3.(2D*).4s      | 3D*     | 1    | 3s2.3p3.(2D*).4p       | 3P      | 1    |       |                      |  L11520  |
Ar IV     |          285.367     |          285.366     |     7.50* | 2.55e+00    | C    |     0.00000     -      4.343464   | 3s2.3p3               | 4S*     | 3/2  | 3s2.3p3                | 2P*     | 3/2  | M1    |                 T761 |  L11613  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar IV     |          285.367     |          285.366     |     7.50* | 1.6e-05     | D    |     0.00000     -      4.343464   | 3s2.3p3               | 4S*     | 3/2  | 3s2.3p3                | 2P*     | 3/2  | E2    |                 T761 |  L11613  |
Ar III    |          285.53126   |          285.531242  |        69 |             |      |    24.37717932  -     28.7181328  | 3s2.3p3.(2D*).4s      | 3D*     | 2    | 3s2.3p3.(2D*).4p       | 3P      | 1    |       |                      |  L11520  |
Ar II     |          285.7278    |          285.7288    |      0.5* |             |      |    21.62407043  -     25.962023   | 3s2.3p4.(1D).3d       | 2P      | 3/2  | 3s2.3p4.(3P).7p        | 1*      | 3/2  |       |                      |  L14821  |
Ar II     |          285.7278    |          285.72942   |      0.5* |             |      |    21.62407043  -     25.962013   | 3s2.3p4.(1D).3d       | 2P      | 3/2  | 3s2.3p4.(3P).7p        | 1*      | 5/2  |       |                      |  L14821  |
Ar II     |          286.0742    |          286.074445  |         3 |             |      |    20.74354589  -     25.07625711 | 3s2.3p4.(1S).4s       | 2S      | 1/2  | 3s2.3p4.(3P).6p        | 4P*     | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          286.58432   |          286.584304  |        20 |             |      |    19.54901161  -     23.87401492 | 3s2.3p4.(3P).4p       | 4D*     | 5/2  | 3s2.3p4.(3P).4d        | 2D      | 5/2  |       |                      |  L11520  |
Ar IV     |          286.821     |          286.822     |     1.95* | 9.7e-01     | C    |     0.00000     -      4.321420   | 3s2.3p3               | 4S*     | 3/2  | 3s2.3p3                | 2P*     | 1/2  | M1    |                 T761 |  L11613  |
Ar IV     |          286.821     |          286.822     |     1.95* | 1.2e-04     | D    |     0.00000     -      4.321420   | 3s2.3p3               | 4S*     | 3/2  | 3s2.3p3                | 2P*     | 1/2  | E2    |                 T761 |  L11613  |
Ar II     |          286.9283    |          286.928905  |         1 |             |      |    21.62407043  -     25.94387967 | 3s2.3p4.(1D).3d       | 2P      | 3/2  | 3s2.3p4.(1D<2>).4f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar II     |          287.1022    |          287.102918  |         1 |             |      |    21.12703333  -     25.4442245  | 3s2.3p4.(1D).4p       | 2F*     | 5/2  | 3s2.3p4.(3P).5d        | 2P      | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          287.1399    |          287.140082  |         1 |             |      |    19.96749891  -     24.28413130 | 3s2.3p4.(3P).4p       | 4S*     | 3/2  | 3s2.3p4.(1D).5s        | 2D      | 5/2  |       |                      |  L14821  |
Ar IV     |          287.434     |          287.4335    |        10 | 7.3e+07     | D    |    31.239970    -     35.552196   | 3s2.3p2.(3P).4s       | 4P      | 5/2  | 3s2.3p2.(3P).4p        | 4D*     | 5/2  |       |           T1619CA,LS |  L11418  |
Ar II     |          287.45820   |          287.458160  |         7 |             |      |    19.97253806  -     24.28439423 | 3s2.3p4.(3P).4p       | 2S*     | 1/2  | 3s2.3p4.(1D).5s        | 2D      | 3/2  |       |                      |  L11520  |
Ar III    |          287.665     |          287.672701  |         1 |             |      |    24.37413212  -     28.68277275 | 3s2.3p3.(2D*).4s      | 3D*     | 1    | 3s2.3p3.(2D*).4p       | 3P      | 2    |       |                      |   L7492  |
Ar II     |          287.6889    |          287.688623  |       0.5 |             |      |    21.49804969  -     25.80645186 | 3s2.3p4.(1D).4p       | 2D*     | 5/2  | 3s2.3p4.(3P).6d        | 4F      | 7/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |          287.87636   |          287.876305  |         9 |             |      |    24.37717932  -     28.68277275 | 3s2.3p3.(2D*).4s      | 3D*     | 2    | 3s2.3p3.(2D*).4p       | 3P      | 2    |       |                      |  L11520  |
Ar III    |          288.1605    |          288.166     |         3 |             |      |    29.2682835   -     33.56955    | 3s2.3p3.(2D*).4p      | 1D      | 2    | 3s2.3p3.(2D*).4d       | 1P*     | 1    |       |                      |   L9366  |
Ar III    |          288.42144   |          288.421444  |       115 |             |      |    24.38531685  -     28.68277275 | 3s2.3p3.(2D*).4s      | 3D*     | 3    | 3s2.3p3.(2D*).4p       | 3P      | 2    |       |                      |  L11520  |
Ar II     |          289.16123   |          289.161218  |       234 | 1.82e+07    | B    |    17.14002730  -     21.42648933 | 3s2.3p4.(3P).4s       | 2P      | 3/2  | 3s2.3p4.(1D).4p        | 2P*     | 1/2  |       |                 T926 |  L11520  |
Ar II     |          289.3985    |          289.398876  |         1 |             |      |    19.61030772  -     23.8932498  | 3s2.3p4.(3P).4p       | 4D*     | 3/2  | 3s2.3p4.(3P).4d        | 2D      | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          289.6564    |          289.656017  |         2 |             |      |    21.62407043  -     25.90321055 | 3s2.3p4.(1D).3d       | 2P      | 3/2  | 3s2.3p4.(1D<2>).4f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar II     |          289.67465   |          289.674651  |        33 |             |      |    21.62407043  -     25.90293530 | 3s2.3p4.(1D).3d       | 2P      | 3/2  | 3s2.3p4.(1D<2>).4f     | 2[2]*   | 5/2  |       |                      |  L11520  |
Ar II     |          289.7332    |          289.73285   |         6 |             |      |    21.62407043  -     25.9020759  | 3s2.3p4.(1D).3d       | 2P      | 3/2  | 3s2.3p4.(3P<2>).7p     | 2[2]*   | 5/2  |       |                      |  L14821  |
Ar II     |          290.704     |          290.704505  |         0 |             |      |    19.61030772  -     23.87401492 | 3s2.3p4.(3P).4p       | 4D*     | 3/2  | 3s2.3p4.(3P).4d        | 2D      | 5/2  |       |                      |  L14821  |
Ar IV     |          291.297     |          291.294     |       12w | 2.5e+08     | D    |    31.906537    -     36.16162    | 3s2.3p2.(3P).4s       | 2P      | 3/2  | 3s2.3p2.(3P).4p        | 2D*     | 5/2  |       |           T1619CA,LS |  L11418  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          291.4932    |          291.492821  |         1 |             |      |    21.36689086  -     25.61906777 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P<0>).5f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar II     |          291.5593    |          291.559174  |         4 |             |      |    21.36689086  -     25.61810011 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P<0>).5f     | 2[3]*   | 7/2  |       |                      |  L14821  |
Ar II     |          291.5967    |          291.596305  |         1 |             |      |    19.64258190  -     23.8932498  | 3s2.3p4.(3P).4p       | 4D*     | 1/2  | 3s2.3p4.(3P).4d        | 2D      | 3/2  |       |                      |  L14821  |
Ar IV     |          291.826     |          291.8244    |         9 | 1.3e+07     | E    |    31.239970    -     35.487315   | 3s2.3p2.(3P).4s       | 4P      | 5/2  | 3s2.3p2.(3P).4p        | 4D*     | 3/2  |       |           T1619CA,LS |  L11418  |
Ar II     |          292.46339   |          292.463391  |      13bl |             |      |    21.62407043  -     25.86213670 | 3s2.3p4.(1D).3d       | 2P      | 3/2  | 3s2.3p4.(1D<2>).4f     | 2[1]*   | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          292.46677   |          292.466794  |        12 |             |      |    21.62407043  -     25.86208739 | 3s2.3p4.(1D).3d       | 2P      | 3/2  | 3s2.3p4.(1D<2>).4f     | 2[1]*   | 1/2  |       |                      |  L11520  |
Ar IV     |          292.627     |          292.623     |        11 | 2.0e+08     | D    |    31.75084     -     35.98660    | 3s2.3p2.(3P).4s       | 2P      | 1/2  | 3s2.3p2.(3P).4p        | 2D*     | 3/2  |       |           T1619CA,LS |  L11418  |
Ar III    |          292.8823    |          292.88623   |         8 |             |      |    25.7483180   -     29.9802660  | 3s2.3p3.(2P*).4s      | 3P*     | 0    | 3s2.3p3.(2P*).4p       | 1P      | 1    |       |                      |   L9366  |
Ar II     |          293.14809   |          293.148090  |        11 |             |      |    21.6750426   -     25.90321055 | 3s2.3p4.(1D).3d       | 2P      | 1/2  | 3s2.3p4.(1D<2>).4f     | 2[2]*   | 3/2  |       |                      |  L11520  |
Ar II     |          293.25905   |          293.259008  |         6 | 8.e+05      | C    |    17.26583338  -     21.49240221 | 3s2.3p4.(3P).4s       | 2P      | 1/2  | 3s2.3p4.(1D).4p        | 2D*     | 3/2  |       |                 T926 |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          293.5538    |          293.55453   |         3 |             |      |    21.14307527  -     25.3653893  | 3s2.3p4.(1D).4p       | 2F*     | 7/2  | 3s2.3p4.(3P).5d        | 2D      | 5/2  |       |                      |  L14821  |
Ar II     |          293.890     |          293.890926  |        1p |             |      |    21.12703333  -     25.3445147  | 3s2.3p4.(1D).4p       | 2F*     | 5/2  | 3s2.3p4.(3P).5d        | 2D      | 3/2  |       |                      |  L14821  |
Ar II     |          294.1893    |          294.189511  |         1 |             |      |    19.68004879  -     23.8932498  | 3s2.3p4.(3P).4p       | 2D*     | 5/2  | 3s2.3p4.(3P).4d        | 2D      | 3/2  |       |                      |  L14821  |
Ar II     |          294.28932   |          294.289308  |      1047 | 5.3e+07     | B    |    17.14002730  -     21.35179967 | 3s2.3p4.(3P).4s       | 2P      | 3/2  | 3s2.3p4.(1D).4p        | 2P*     | 3/2  |       |                 T926 |  L11520  |
Ar II     |          294.7275    |          294.728037  |         2 |             |      |    21.36689086  -     25.57239391 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P<1>).5f     | 2[3]*   | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          294.8119    |          294.811735  |       0.5 |             |      |    21.36689086  -     25.57120002 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P<1>).5f     | 2[3]*   | 7/2  |       |                      |  L14821  |
Ar II     |          295.53882   |          295.538822  |        68 |             |      |    19.68004879  -     23.87401492 | 3s2.3p4.(3P).4p       | 2D*     | 5/2  | 3s2.3p4.(3P).4d        | 2D      | 5/2  |       |                      |  L11520  |
Ar II     |          295.65420   |          295.654135  |         6 |             |      |    21.36689086  -     25.55922131 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P<1>).5f     | 2[4]*   | 7/2  |       |                      |  L11520  |
Ar II     |          295.7532    |          295.753510  |         3 |             |      |    21.42814592  -     25.61906777 | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(3P<0>).5f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar II     |          296.02396   |          296.023893  |      10bl |             |      |    21.6750426   -     25.86213670 | 3s2.3p4.(1D).3d       | 2P      | 1/2  | 3s2.3p4.(1D<2>).4f     | 2[1]*   | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          296.02741   |          296.027379  |        23 |             |      |    21.6750426   -     25.86208739 | 3s2.3p4.(1D).3d       | 2P      | 1/2  | 3s2.3p4.(1D<2>).4f     | 2[1]*   | 1/2  |       |                      |  L11520  |
Ar II     |          296.0514    |          296.052958  |       0.5 |             |      |    21.36689086  -     25.55357392 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P<1>).5f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar II     |          297.90502   |          297.905007  |       263 | 4.16e+07    | B    |    17.26583338  -     21.42648933 | 3s2.3p4.(3P).4s       | 2P      | 1/2  | 3s2.3p4.(1D).4p        | 2P*     | 1/2  |       |                 T926 |  L11520  |
Ar II     |          299.0843    |          299.084527  |         2 |             |      |    21.42814592  -     25.57239391 | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(3P<1>).5f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar II     |          299.9110    |          299.910709  |         2 |             |      |    20.24656508  -     24.37939715 | 3s2.3p4.(1D).3d       | 2F      | 5/2  | 3s2.3p4.(3P<0>).4f     | 2[3]*   | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          300.0109    |          300.010929  |         3 |             |      |    20.24656508  -     24.37801662 | 3s2.3p4.(1D).3d       | 2F      | 5/2  | 3s2.3p4.(3P<0>).4f     | 2[3]*   | 7/2  |       |                      |  L11520  |
Ar II     |          300.04451   |          300.044527  |        17 | 1.5e+08     | D    |    19.76226091  -     23.8932498  | 3s2.3p4.(3P).4p       | 2D*     | 3/2  | 3s2.3p4.(3P).4d        | 2D      | 3/2  |       |                T1240 |  L11520  |
Ar III    |          300.26407   |          300.26399   |        16 |             |      |    26.1685709   -     30.2965405  | 3s2.3p3.(2P*).4s      | 1P*     | 1    | 3s2.3p3.(2P*).4p       | 1D      | 2    |       |                      |  L11520  |
Ar II     |          300.2964    |          300.296447  |         4 |             |      |    21.42814592  -     25.55566950 | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(3P<1>).5f     | 2[2]*   | 5/2  |       |                      |  L11520  |
Ar II     |          300.4486    |          300.448994  |         2 |             |      |    21.42814592  -     25.55357392 | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(3P<1>).5f     | 2[2]*   | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |                      |          300.522     |           | 4.3e-02     | D    |     0.0000000   -      4.12442    | 3s2.3p4               | 3P      | 2    | 3s2.3p4                | 1S      | 0    | E2    |                 T761 |          |
Ar VIII   |          300.66      |          300.66      |           |             |      |   123.7939      -    127.9165     | 2p6.7p                | 2P*     | 1/2  | 2p6.8s                 | 2S      | 1/2  |       |                      |  L11180  |
Ar III    |          301.002     |          300.9985    |        10 |             |      |    26.063055    -     30.18095212 | 3s2.3p3.(2P*).3d      | 3D*     | 3    | 3s2.3p3.(2P*).4p       | 3P      | 2    |       |                      |   L7493  |
Ar II     |          301.44819   |          301.448204  |         7 |             |      |    19.76226091  -     23.87401492 | 3s2.3p4.(3P).4p       | 2D*     | 3/2  | 3s2.3p4.(3P).4d        | 2D      | 5/2  |       |                      |  L11520  |
Ar IV     |          301.615     |          301.607     |         5 |             |      |    31.75084     -     35.860433   | 3s2.3p2.(3P).4s       | 2P      | 1/2  | 3s2.3p2.(3P).4p        | 4P*     | 3/2  |       |                      |   L4489  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |          302.39801   |          302.39806   |         5 | 2.6e+08     | D    |    25.6936176   -     29.79245681 | 3s2.3p3.(2P*).4s      | 3P*     | 2    | 3s2.3p3.(2P*).4p       | 3D      | 3    |       |           T1619CA,LS |  L11520  |
Ar II     |          302.67455   |          302.674550  |        35 |             |      |    21.35179967  -     25.44689479 | 3s2.3p4.(1D).4p       | 2P*     | 3/2  | 3s2.3p4.(1D).4d        | 2S      | 1/2  |       |                      |  L11520  |
Ar III    |          302.716     |          302.70864   |         5 | 6.4e+07     | D    |    25.6936176   -     29.7882515  | 3s2.3p3.(2P*).4s      | 3P*     | 2    | 3s2.3p3.(2P*).4p       | 3D      | 2    |       |           T1619CA,LS |   L7493  |
Ar VIII   |          302.81      |          302.82      |           |             |      |   103.1872      -    107.2803     | 2p6.5p                | 2P*     | 1/2  | 2p6.5d                 | 2D      | 3/2  |       |                      |  L13101  |
Ar II     |          302.8721    |          302.872055  |         3 |             |      |    21.35179967  -     25.4442245  | 3s2.3p4.(1D).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).5d        | 2P      | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          302.89140   |          302.891004  |       47* |             |      |    20.24656508  -     24.33873385 | 3s2.3p4.(1D).3d       | 2F      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[3]*   | 7/2  |       |                      |  L11520  |
Ar II     |          302.89140   |          302.891399  |       47* | 2.3e+08     | D    |    19.80108640  -     23.8932498  | 3s2.3p4.(3P).4p       | 2P*     | 1/2  | 3s2.3p4.(3P).4d        | 2D      | 3/2  |       |                T1240 |  L11520  |
Ar II     |          303.35082   |          303.350811  |        78 | 9.9e+06     | B    |    17.26583338  -     21.35179967 | 3s2.3p4.(3P).4s       | 2P      | 1/2  | 3s2.3p4.(1D).4p        | 2P*     | 3/2  |       |                 T926 |  L11520  |
Ar II     |          303.6887    |          303.689238  |      2bl? |             |      |    19.54901161  -     23.63042474 | 3s2.3p4.(3P).4p       | 4D*     | 5/2  | 3s2.3p4.(3P).4d        | 2P      | 3/2  |       |                      |  L14821  |
Ar III    |          303.696     |          303.68767   |         3 | 7.0e+06     | E    |    25.6936176   -     29.7750517  | 3s2.3p3.(2P*).4s      | 3P*     | 2    | 3s2.3p3.(2P*).4p       | 3D      | 1    |       |           T1619CA,LS |   L7493  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar IV     |          303.791     |          303.790     |         9 | 3.6e+07     | E    |    31.906537    -     35.98660    | 3s2.3p2.(3P).4s       | 2P      | 3/2  | 3s2.3p2.(3P).4p        | 2D*     | 3/2  |       |           T1619CA,LS |  L11418  |
Ar II     |          304.2463    |          304.246739  |         1 |             |      |    21.36689086  -     25.44082553 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P<2>).5f     | 2[1]*   | 3/2  |       |                      |  L14821  |
Ar II     |          304.60787   |          304.607913  |         6 |             |      |    20.24656508  -     24.31566947 | 3s2.3p4.(1D).3d       | 2F      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[4]*   | 7/2  |       |                      |  L11520  |
Ar II     |          304.7053    |          304.705269  |       0.5 |             |      |    20.27222673  -     24.34003106 | 3s2.3p4.(1D).3d       | 2F      | 7/2  | 3s2.3p4.(3P<1>).4f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar II     |          304.8021    |          304.802474  |         2 |             |      |    20.27222673  -     24.33873385 | 3s2.3p4.(1D).3d       | 2F      | 7/2  | 3s2.3p4.(3P<1>).4f     | 2[3]*   | 7/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          304.8784    |          304.878841  |         2 |             |      |    20.24656508  -     24.31205364 | 3s2.3p4.(1D).3d       | 2F      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 5/2  |       |                      |  L14821  |
Ar II     |          305.0043    |          305.004111  |         1 |             |      |    20.24656508  -     24.31038395 | 3s2.3p4.(1D).3d       | 2F      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar II     |          305.3151    |          305.315013  |         5 |             |      |    21.36689086  -     25.42657172 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P<2>).5f     | 2[2]*   | 5/2  |       |                      |  L14821  |
Ar III    |          305.47736   |          305.4775    |         3 | 1.9e+08     | D    |    25.730729    -     29.7882515  | 3s2.3p3.(2P*).4s      | 3P*     | 1    | 3s2.3p3.(2P*).4p       | 3D      | 2    |       |           T1619CA,LS |  L11520  |
Ar II     |          305.5281    |          305.527974  |       0.5 |             |      |    21.36689086  -     25.42374213 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P<2>).5f     | 2[2]*   | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
